Informazioni cronologiche,How many times do you exercise in a month?
30/11/2022 18.19.09,5
30/11/2022 18.20.24,8
30/11/2022 18.24.25,12
30/11/2022 18.25.22,0
30/11/2022 18.25.30,2
30/11/2022 18.25.56,8
30/11/2022 18.26.06,0
30/11/2022 18.26.09,8
30/11/2022 18.26.37,0
30/11/2022 18.27.02,16
30/11/2022 18.27.13,8
30/11/2022 18.28.00,15
30/11/2022 18.28.22,5
30/11/2022 18.29.24,8
30/11/2022 18.30.06,3
30/11/2022 18.30.31,12
30/11/2022 18.31.36,2
30/11/2022 18.32.10,8
30/11/2022 18.32.15,14
30/11/2022 18.33.20,4
30/11/2022 18.33.24,12
30/11/2022 18.35.15,2
30/11/2022 18.35.48,16
30/11/2022 18.36.07,2
30/11/2022 18.36.07,4
30/11/2022 18.37.27,16
30/11/2022 18.37.36,16
30/11/2022 18.37.41,14
30/11/2022 18.37.55,10
30/11/2022 18.37.56,0
30/11/2022 18.38.27,0
30/11/2022 18.38.36,0
30/11/2022 18.41.30,0
30/11/2022 18.43.00,2
30/11/2022 18.44.08,0
30/11/2022 18.45.24,8
30/11/2022 18.47.11,18
30/11/2022 18.49.24,12
30/11/2022 18.52.44,4
30/11/2022 19.07.03,30
30/11/2022 19.14.41,0
30/11/2022 19.52.51,0
30/11/2022 20.03.18,12
30/11/2022 20.11.25,4
30/11/2022 20.16.47,0
30/11/2022 20.23.33,3
30/11/2022 20.29.18,12
30/11/2022 21.01.52,12
30/11/2022 21.58.48,1
01/12/2022 8.05.22,2
01/12/2022 9.16.31,3
01/12/2022 9.17.34,12
01/12/2022 9.17.47,4
01/12/2022 9.19.15,3
01/12/2022 9.19.33,10
01/12/2022 9.20.06,10
01/12/2022 9.20.25,0
01/12/2022 9.20.32,0
01/12/2022 9.21.04,4
01/12/2022 9.31.24,30
01/12/2022 9.33.40,12
01/12/2022 9.34.23,4
01/12/2022 9.37.26,0
01/12/2022 9.37.26,12
01/12/2022 9.38.07,0
01/12/2022 9.38.41,7
01/12/2022 9.40.24,10
01/12/2022 9.42.58,15
01/12/2022 9.44.21,0
01/12/2022 9.55.37,4
01/12/2022 10.03.13,5
01/12/2022 10.06.28,1
01/12/2022 10.09.45,3
01/12/2022 10.22.26,8
01/12/2022 10.38.01,20
01/12/2022 10.58.50,15
01/12/2022 11.03.53,5
01/12/2022 11.08.57,14
01/12/2022 11.19.10,10
01/12/2022 11.58.58,0
01/12/2022 14.06.56,8
01/12/2022 14.37.47,0
01/12/2022 14.49.29,1
01/12/2022 15.05.41,4
01/12/2022 15.06.26,7
01/12/2022 15.06.37,21
01/12/2022 15.06.43,10
01/12/2022 15.06.47,0
01/12/2022 15.06.52,2
01/12/2022 15.06.56,4
01/12/2022 15.07.00,5
01/12/2022 15.07.13,1
01/12/2022 15.07.18,8
01/12/2022 15.07.27,20
01/12/2022 15.07.31,15
01/12/2022 15.35.30,12
01/12/2022 15.35.31,6
01/12/2022 16.13.59,12
02/12/2022 12.04.04,0
01/12/2022 15.37.47,9